"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Chittor","Kalikiri","Tomato","Local","05/11/2018","300","1000","650"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","05/11/2018","440","1400","920"
"Andhra Pradesh","Kurnool","Alur","Jowar(Sorghum)","Jowar ( White)","05/11/2018","2050","2250","2150"
"Andhra Pradesh","Kurnool","Atmakur","Paddy(Dhan)","Sona Mahsuri","05/11/2018","1750","1750","1750"
"Andhra Pradesh","Kurnool","Banaganapalli","Bengal Gram(Gram)(Whole)","Desi (Whole)","05/11/2018","4100","4400","4250"
"Andhra Pradesh","Kurnool","Banaganapalli","Jowar(Sorghum)","Jowar ( White)","05/11/2018","1800","2000","1900"
"Andhra Pradesh","Kurnool","Banaganapalli","Paddy(Dhan)","Sona Mahsuri","05/11/2018","1700","1900","1850"
"Andhra Pradesh","Kurnool","Kurnool","Arhar (Tur/Red Gram)(Whole)","Local","05/11/2018","4021","5675","4021"
"Andhra Pradesh","Kurnool","Kurnool","Groundnut","Local","05/11/2018","2905","5669","4315"
"Andhra Pradesh","Kurnool","Kurnool","Onion","Local","05/11/2018","290","1050","640"
"Andhra Pradesh","Kurnool","Kurnool","Sunflower","Bold","05/11/2018","3758","5388","3888"
"Andhra Pradesh","Kurnool","Nandikotkur","Bengal Gram(Gram)(Whole)","Gulabi","05/11/2018","4400","4400","4400"
"Andhra Pradesh","Kurnool","Nandikotkur","Maize","Hybrid","05/11/2018","1700","1700","1700"
"Andhra Pradesh","Kurnool","Nandikotkur","Paddy(Dhan)","Sona","05/11/2018","1750","1750","1750"
"Andhra Pradesh","Kurnool","Nandyal","Bengal Gram(Gram)(Whole)","Desi (Whole)","05/11/2018","4400","4500","4450"
"Andhra Pradesh","Kurnool","Nandyal","Paddy(Dhan)","Sona Mahsuri","05/11/2018","1800","1900","1850"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","05/11/2018","332","720","524"
"Andhra Pradesh","Visakhapatnam","Anakapally","Gur(Jaggery)","NO 1","05/11/2018","2975","3390","3183"
"Andhra Pradesh","Visakhapatnam","Anakapally","Gur(Jaggery)","NO 2","05/11/2018","2670","3050","2860"
"Andhra Pradesh","Visakhapatnam","Anakapally","Gur(Jaggery)","NO 3","05/11/2018","2500","2840","2670"
"Assam","Darrang","Kharupetia","Pumpkin","Pumpkin","05/11/2018","900","1000","950"
"Assam","Dhubri","Gauripur","Maida Atta","Maida Atta","05/11/2018","2250","2550","2360"
"Assam","Goalpara","Goalpara","Maida Atta","Maida Atta","05/11/2018","2200","2400","2300"
"Assam","Kamrup","P.O. Uparhali Guwahati","Maida Atta","Maida Atta","05/11/2018","2560","2800","2680"
"Assam","Kamrup","Pamohi(Garchuk)","Pumpkin","Pumpkin","05/11/2018","1400","1800","1600"
"Assam","Karimganj","Karimganj","Maida Atta","Maida Atta","05/11/2018","2500","2600","2500"
"Assam","Nalbari","Nalbari","Maida Atta","Maida Atta","05/11/2018","2800","3000","2900"
"Chattisgarh","Bastar","Bhopalpattnam","Mahua Seed(Hippe seed)","Other","05/11/2018","1500","1500","1500"
"Chattisgarh","Bastar","Bijapur","Mahua Seed(Hippe seed)","Other","05/11/2018","1500","1500","1500"
"Chattisgarh","Bastar","Charama","Paddy(Dhan)","Other","05/11/2018","1450","1450","1450"
"Chattisgarh","Bijapur","Bharamgarh","Mahua Seed(Hippe seed)","Other","05/11/2018","1500","1500","1500"
"Chattisgarh","Bilaspur","Pendraroad","Maize","Local","05/11/2018","1200","1210","1205"
"Chattisgarh","Bilaspur","Tiphra","Onion","Other","05/11/2018","1200","1400","1300"
"Chattisgarh","Bilaspur","Tiphra","Potato","Other","05/11/2018","1500","1700","1600"
"Chattisgarh","Dantewada","Doranpal","Paddy(Dhan)","Paddy Coarse","05/11/2018","1200","1300","1250"
"Chattisgarh","Dantewada","Konta","Paddy(Dhan)","Other","05/11/2018","1200","1300","1250"
"Chattisgarh","Dhamtari","Dhamtari","Paddy(Dhan)","B P T","05/11/2018","1731","1751","1731"
"Chattisgarh","Dhamtari","Dhamtari","Paddy(Dhan)","I.R. 64","05/11/2018","1440","1525","1510"
"Chattisgarh","Dhamtari","Dhamtari","Paddy(Dhan)","MTU-1010","05/11/2018","1500","1508","1505"
"Chattisgarh","Dhamtari","Gattasilli","Paddy(Dhan)","I.R. 36","05/11/2018","1400","1400","1400"
"Chattisgarh","Janjgir","Akaltara","Paddy(Dhan)","Paddy Medium","05/11/2018","1480","1495","1485"
"Chattisgarh","Kawardha","Kawardha","Soyabean","Yellow","05/11/2018","3218","3228","3223"
"Chattisgarh","Koria","Baikunthpur","Mahua Seed(Hippe seed)","Other","05/11/2018","1800","1800","1800"
"Chattisgarh","Koria","Baikunthpur","Paddy(Dhan)","Other","05/11/2018","1600","2150","2150"
"Chattisgarh","Koria","Manendragarh","Paddy(Dhan)","I.R. 36","05/11/2018","1700","1700","1700"
"Chattisgarh","Koria","Manendragarh","Wheat","Local","05/11/2018","1700","1700","1700"
"Chattisgarh","North Bastar","Lakhanpuri","Paddy(Dhan)","Other","05/11/2018","1450","1450","1450"
"Chattisgarh","North Bastar","Narharpur","Paddy(Dhan)","Other","05/11/2018","1450","1450","1450"
"Chattisgarh","Raipur","Arang","Paddy(Dhan)","Paddy Medium","05/11/2018","1451","1451","1451"
"Chattisgarh","Surguja","Ambikapur","Maize","Local","05/11/2018","1710","1710","1710"
"Chattisgarh","Surguja","Surajpur","Paddy(Dhan)","I.R. 36","05/11/2018","1775","1775","1775"
"Gujarat","Ahmedabad","Ahmedabad","Bhindi(Ladies Finger)","Other","05/11/2018","1200","3000","2200"
"Gujarat","Ahmedabad","Ahmedabad","Bitter gourd","Other","05/11/2018","500","1000","800"
"Gujarat","Ahmedabad","Ahmedabad","Bottle gourd","Other","05/11/2018","400","1000","750"
"Gujarat","Ahmedabad","Ahmedabad","Brinjal","Other","05/11/2018","300","700","550"
"Gujarat","Ahmedabad","Ahmedabad","Capsicum","Capsicum","05/11/2018","1700","2000","1900"
"Gujarat","Ahmedabad","Ahmedabad","Drumstick","Other","05/11/2018","2000","3100","3000"
"Gujarat","Ahmedabad","Ahmedabad","Green Chilli","Other","05/11/2018","800","1150","1100"
"Gujarat","Ahmedabad","Ahmedabad","Guar","Other","05/11/2018","1000","3000","2000"
"Gujarat","Ahmedabad","Ahmedabad","Pointed gourd (Parval)","Other","05/11/2018","2800","5500","4200"
"Gujarat","Ahmedabad","Ahmedabad","Surat Beans (Papadi)","Other","05/11/2018","4000","6000","5250"
"Gujarat","Ahmedabad","Ahmedabad","Tinda","Other","05/11/2018","1000","3000","2100"
"Gujarat","Ahmedabad","Ahmedabad(Rajnagar sub yard)","Methi(Leaves)","Other","05/11/2018","1200","2000","1750"
"Gujarat","Ahmedabad","Dhandhuka","Cotton","Shanker 6 (B) 30mm FIne","05/11/2018","5500","5800","5650"
"Gujarat","Ahmedabad","Dholka(Koth)","Bhindi(Ladies Finger)","Other","05/11/2018","800","1300","1000"
"Gujarat","Ahmedabad","Dholka(Koth)","Bitter gourd","Other","05/11/2018","1000","1500","1200"
"Gujarat","Ahmedabad","Dholka(Koth)","Bottle gourd","Other","05/11/2018","550","750","650"
"Gujarat","Ahmedabad","Dholka(Koth)","Brinjal","Other","05/11/2018","500","650","600"
"Gujarat","Ahmedabad","Dholka(Koth)","Cotton","Other","05/11/2018","5120","5900","5500"
"Gujarat","Ahmedabad","Dholka(Koth)","Green Chilli","Other","05/11/2018","800","1000","900"
"Gujarat","Ahmedabad","Dholka(Koth)","Guar","Other","05/11/2018","1000","1200","1100"
"Gujarat","Ahmedabad","Dholka(Koth)","Methi(Leaves)","Other","05/11/2018","600","900","700"
"Gujarat","Ahmedabad","Dholka(Koth)","Paddy(Dhan)","Other","05/11/2018","1550","1925","1760"
"Gujarat","Ahmedabad","Dholka(Koth)","Pegeon Pea (Arhar Fali)","Other","05/11/2018","2400","3000","2800"
"Gujarat","Ahmedabad","Dholka(Koth)","Tinda","Other","05/11/2018","1000","1400","1200"
"Gujarat","Ahmedabad","Dholka(Koth)","Wheat","Other","05/11/2018","1850","2050","1900"
"Gujarat","Amreli","Damnagar","Bhindi(Ladies Finger)","Bhindi","05/11/2018","1600","1800","1700"
"Gujarat","Amreli","Damnagar","Brinjal","Other","05/11/2018","1100","1300","1200"
"Gujarat","Amreli","Damnagar","Capsicum","Capsicum","05/11/2018","1150","1300","1250"
"Gujarat","Amreli","Damnagar","Guar","Gwar","05/11/2018","1500","1750","1600"
"Gujarat","Amreli","Damnagar","Lemon","Lemon","05/11/2018","1900","2100","2000"
"Gujarat","Anand","Anand(Veg,Yard,Anand)","Bhindi(Ladies Finger)","Other","05/11/2018","1500","2000","1900"
"Gujarat","Anand","Anand(Veg,Yard,Anand)","Bitter gourd","Other","05/11/2018","1000","1400","1300"
"Gujarat","Anand","Anand(Veg,Yard,Anand)","Bottle gourd","Other","05/11/2018","500","750","600"
"Gujarat","Anand","Anand(Veg,Yard,Anand)","Brinjal","Other","05/11/2018","1250","1500","1400"
"Gujarat","Anand","Anand(Veg,Yard,Anand)","Green Chilli","Other","05/11/2018","1000","1250","1200"
"Gujarat","Anand","Anand(Veg,Yard,Anand)","Tomato","Other","05/11/2018","700","800","750"
"Gujarat","Anand","Borsad","Bajra(Pearl Millet/Cumbu)","Other","05/11/2018","1500","1600","1600"
"Gujarat","Anand","Borsad","Paddy(Dhan)","Other","05/11/2018","1400","1460","1460"
"Gujarat","Anand","Borsad","Wheat","Other","05/11/2018","1800","1825","1825"
"Gujarat","Anand","Khambhat(Grain Market)","Bajra(Pearl Millet/Cumbu)","Other","05/11/2018","1820","1880","1850"
"Gujarat","Anand","Khambhat(Grain Market)","Paddy(Dhan)","Paddy","05/11/2018","1660","1750","1700"
"Gujarat","Anand","Khambhat(Grain Market)","Wheat","Other","05/11/2018","1980","2060","2020"
"Gujarat","Bharuch","Ankleshwar","Amla(Nelli Kai)","Amla","05/11/2018","1325","1725","1500"
"Gujarat","Bharuch","Ankleshwar","Bhindi(Ladies Finger)","Bhindi","05/11/2018","2300","3000","2700"
"Gujarat","Bharuch","Ankleshwar","Bitter gourd","Bitter Gourd","05/11/2018","1325","1725","1500"
"Gujarat","Bharuch","Ankleshwar","Bottle gourd","Bottle Gourd","05/11/2018","550","800","700"
"Gujarat","Bharuch","Ankleshwar","Brinjal","Brinjal","05/11/2018","1500","2400","2125"
"Gujarat","Bharuch","Ankleshwar","Brinjal","Round","05/11/2018","2000","3800","3300"
"Gujarat","Bharuch","Ankleshwar","Cabbage","Cabbage","05/11/2018","425","650","600"
"Gujarat","Bharuch","Ankleshwar","Capsicum","Capsicum","05/11/2018","1175","1425","1350"
"Gujarat","Bharuch","Ankleshwar","Carrot","Carrot","05/11/2018","1000","1900","1450"
"Gujarat","Bharuch","Ankleshwar","Cauliflower","Cauliflower","05/11/2018","1250","1950","1700"
"Gujarat","Bharuch","Ankleshwar","Cauliflower","Local","05/11/2018","2150","3750","3050"
"Gujarat","Bharuch","Ankleshwar","Coriander(Leaves)","Coriander","05/11/2018","2000","2900","2450"
"Gujarat","Bharuch","Ankleshwar","Cowpea(Veg)","Cowpea (Veg)","05/11/2018","2450","3575","3350"
"Gujarat","Bharuch","Ankleshwar","Cucumbar(Kheera)","Cucumbar","05/11/2018","1200","2100","1875"
"Gujarat","Bharuch","Ankleshwar","Drumstick","Drumstick","05/11/2018","2800","3500","3250"
"Gujarat","Bharuch","Ankleshwar","Ginger(Green)","Green Ginger","05/11/2018","5750","6450","6150"
"Gujarat","Bharuch","Ankleshwar","Green Chilli","Green Chilly","05/11/2018","1000","1400","1250"
"Gujarat","Bharuch","Ankleshwar","Green Chilli","Other","05/11/2018","2000","2900","2450"
"Gujarat","Bharuch","Ankleshwar","Guar","Gwar","05/11/2018","1900","2600","2350"
"Gujarat","Bharuch","Ankleshwar","Indian Beans (Seam)","Indian Beans (Seam)","05/11/2018","1900","2600","2350"
"Gujarat","Bharuch","Ankleshwar","Lemon","Lemon","05/11/2018","2450","3350","2900"
"Gujarat","Bharuch","Ankleshwar","Methi(Leaves)","Methi","05/11/2018","2350","3050","2750"
"Gujarat","Bharuch","Ankleshwar","Methi(Leaves)","Other","05/11/2018","1900","2600","2350"
"Gujarat","Bharuch","Ankleshwar","Pegeon Pea (Arhar Fali)","Pigeon Pea (Arhar Fali)","05/11/2018","2750","7250","6350"
"Gujarat","Bharuch","Ankleshwar","Pointed gourd (Parval)","Pointed gourd (Parval)","05/11/2018","1900","3500","3100"
"Gujarat","Bharuch","Ankleshwar","Ridgeguard(Tori)","Ridgeguard(Tori)","05/11/2018","1850","3000","2600"
"Gujarat","Bharuch","Ankleshwar","Sponge gourd","Sponge gourd","05/11/2018","950","1650","1400"
"Gujarat","Bharuch","Ankleshwar","Tinda","Tinda","05/11/2018","1925","3050","2825"
"Gujarat","Bharuch","Ankleshwar","Tomato","Tomato","05/11/2018","600","1000","825"
"Gujarat","Bharuch","Bharuch","Bhindi(Ladies Finger)","Other","05/11/2018","1500","1800","1700"
"Gujarat","Bharuch","Bharuch","Bottle gourd","Other","05/11/2018","500","700","600"
"Gujarat","Bharuch","Bharuch","Brinjal","Other","05/11/2018","1200","1800","1400"
"Gujarat","Bharuch","Bharuch","Green Chilli","Other","05/11/2018","1000","1300","1200"
"Gujarat","Bharuch","Jambusar","Arhar (Tur/Red Gram)(Whole)","Other","05/11/2018","2700","3300","3000"
"Gujarat","Bharuch","Jambusar","Castor Seed","Other","05/11/2018","3600","4200","3900"
"Gujarat","Bharuch","Jambusar","Cotton","Other","05/11/2018","4600","5200","4900"
"Gujarat","Bharuch","Jambusar","Jowar(Sorghum)","Other","05/11/2018","1700","2300","2000"
"Gujarat","Bharuch","Jambusar","Wheat","Other","05/11/2018","1800","2200","2000"
"Gujarat","Bharuch","Jambusar(Kaavi)","Arhar (Tur/Red Gram)(Whole)","Other","05/11/2018","2800","3200","3000"
"Gujarat","Bharuch","Jambusar(Kaavi)","Castor Seed","Other","05/11/2018","3600","4200","3900"
"Gujarat","Bharuch","Jambusar(Kaavi)","Cotton","Other","05/11/2018","5000","5400","5200"
"Gujarat","Bharuch","Jambusar(Kaavi)","Jowar(Sorghum)","Other","05/11/2018","1800","2200","2000"
"Gujarat","Bhavnagar","Bhavnagar","Tomato","Tomato","05/11/2018","1300","1400","1350"
"Gujarat","Bhavnagar","Palitana","Sesamum(Sesame,Gingelly,Til)","Black","05/11/2018","14000","16500","15250"
"Gujarat","Bhavnagar","Palitana","Sesamum(Sesame,Gingelly,Til)","White","05/11/2018","12500","14000","13250"
"Gujarat","Dahod","Dahod","Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)","05/11/2018","3400","3797","3600"
"Gujarat","Dahod","Dahod","Arhar (Tur/Red Gram)(Whole)","Other","05/11/2018","3850","4000","3925"
"Gujarat","Dahod","Dahod","Barley (Jau)","Other","05/11/2018","1550","1650","1600"
"Gujarat","Dahod","Dahod","Bengal Gram(Gram)(Whole)","Other","05/11/2018","4050","4100","4075"
"Gujarat","Dahod","Dahod","Black Gram (Urd Beans)(Whole)","Black Gram (Whole)","05/11/2018","5000","5346","5250"
"Gujarat","Dahod","Dahod","Castor Seed","Castor seed","05/11/2018","5000","5075","5050"
"Gujarat","Dahod","Dahod","Castor Seed","Other","05/11/2018","4800","4875","4850"
"Gujarat","Dahod","Dahod","Groundnut","Other","05/11/2018","4400","5000","4800"
"Gujarat","Dahod","Dahod","Sesamum(Sesame,Gingelly,Til)","White","05/11/2018","12000","13000","12500"
"Gujarat","Dahod","Dahod","Soyabean","Soyabeen","05/11/2018","3300","3335","3325"
"Gujarat","Dahod","Dahod","Wheat","Lokwan","05/11/2018","2050","2100","2075"
"Gujarat","Dahod","Dahod(Veg. Market)","Bhindi(Ladies Finger)","Bhindi","05/11/2018","1500","3000","2500"
"Gujarat","Dahod","Dahod(Veg. Market)","Bitter gourd","Bitter Gourd","05/11/2018","1500","2500","2000"
"Gujarat","Dahod","Dahod(Veg. Market)","Bottle gourd","Bottle Gourd","05/11/2018","500","1100","900"
"Gujarat","Dahod","Dahod(Veg. Market)","Brinjal","Brinjal","05/11/2018","600","2000","1500"
"Gujarat","Dahod","Dahod(Veg. Market)","Cabbage","Cabbage","05/11/2018","500","1000","800"
"Gujarat","Dahod","Dahod(Veg. Market)","Carrot","Carrot","05/11/2018","2000","3200","3000"
"Gujarat","Dahod","Dahod(Veg. Market)","Cauliflower","Cauliflower","05/11/2018","900","2000","1600"
"Gujarat","Dahod","Dahod(Veg. Market)","Coriander(Leaves)","Coriander","05/11/2018","1200","3000","2000"
"Gujarat","Dahod","Dahod(Veg. Market)","Cucumbar(Kheera)","Cucumbar","05/11/2018","500","1400","1000"
"Gujarat","Dahod","Dahod(Veg. Market)","Drumstick","Other","05/11/2018","2000","4000","3200"
"Gujarat","Dahod","Dahod(Veg. Market)","Garlic","Other","05/11/2018","1000","2500","2200"
"Gujarat","Dahod","Dahod(Veg. Market)","Ginger(Green)","Green Ginger","05/11/2018","5000","8000","7200"
"Gujarat","Dahod","Dahod(Veg. Market)","Green Chilli","Green Chilly","05/11/2018","1500","3000","2500"
"Gujarat","Dahod","Dahod(Veg. Market)","Pegeon Pea (Arhar Fali)","Other","05/11/2018","2000","3500","3000"
"Gujarat","Dahod","Dahod(Veg. Market)","Raddish","Raddish","05/11/2018","500","1000","700"
"Gujarat","Dahod","Dahod(Veg. Market)","Tomato","Tomato","05/11/2018","400","800","600"
