,crop,production_by_area
28,Coconut ,7436419.815051523
105,Sugarcane,1428683.1371797957
86,Potato,77417.40499396715
7,Banana,75291.14374411573
66,Onion,74209.07689203242
107,Sweet potato,32990.88947033922
58,Maize,25766.241184258644
94,Rice,25649.907730699568
108,Tapioca,25144.499778890786
37,Dry ginger,14352.15674705188
118,Wheat,14108.738579610637
76,Papaya,13842.477584960721
48,Jute,11383.94155604118
22,Cashewnut,10280.304061896828
113,Turmeric,10174.890713283236
38,Garlic,9818.713025822686
42,Groundnut,8958.928686768322
61,Mesta,8455.554685970796
36,Dry chillies,7906.960331806111
8,Barley,6368.139791995466
47,Jowar,6255.335420874851
32,Cotton(lint),6069.591084924145
6,Bajra,5414.427109573328
40,Gram,5213.248124972571
3,Arhar/Tur,5033.05993925633
91,Rapeseed &Mustard,5016.831175176876
80,Peas & beans (Pulses),4793.796618465474
106,Sunflower,4494.4563390245
110,Tobacco,4318.767515811141
115,Urad,4180.994049668923
89,Ragi,4166.279118814461
62,Moong(Green Gram),4038.6146354604007
101,Sesamum,3580.117567351589
82,Pineapple,3457.2452003337153
2,Arecanut,2979.9379233917357
111,Tomato,2880.1198724449782
104,Soyabean,2839.821022450571
18,Brinjal,2794.8331015465897
102,Small millets,2658.4787381338165
60,Masoor,2641.001366567132
41,Grapes,2480.65592092679
19,Cabbage,2431.774151458752
67,Orange,2293.5165301126513
99,Sannhamp,2259.9589316985202
39,Ginger,2065.9221858485835
56,Linseed,1958.0358838152865
25,Castor seed,1923.0436554796172
59,Mango,1784.5764919289127
68,Other  Rabi pulses,1711.1077181465687
73,Other Kharif pulses,1621.1739244769149
44,Horse-gram,1526.4546616368204
31,Coriander,1495.119509876101
84,Pome Fruit,1397.917389459707
27,Citrus Fruit,1217.5347373923603
15,Black pepper,1004.3946362165555
51,Khesari,990.8280388997011
122,other oilseeds,928.7310000505748
43,Guar seed,902.2365543549166
13,Bhindi,707.8232170016104
64,Niger seed,699.5869302025811
45,Jack Fruit,638.5452556386314
97,Safflower,616.2003750493711
75,Paddy,595.3802528073235
72,Other Fresh Fruits,556.7417379116064
74,Other Vegetables,522.3331829833754
10,Beans & Mutter(Vegetable),520.4400056308342
69,Other Cereals & Millets,471.44563883651807
100,Sapota,400.4256951470422
54,Lemon,309.37967877400047
65,Oilseeds total,287.134240124255
33,Cowpea(Lobia),269.83915847225506
85,Pome Granet,261.8667681429897
63,Moth,226.68563577318608
92,Redish,160.69959739133876
26,Cauliflower,152.62853013893377
109,Tea,142.04084969442317
21,Carrot,133.41420252949666
49,Jute & mesta,132.02437579962688
5,Atcanut (Raw),124.33231817649684
30,Colocosia,104.61406554718302
87,Pulses total,87.49785983982697
17,Bottle Gourd,84.46258741258742
112,Total foodgrain,74.40367071745649
52,Korra,59.51237064204899
14,Bitter Gourd,58.41491841491842
35,Drum Stick,56.460817390294956
16,Blackgram,47.588073212910224
20,Cardamom,40.81152508372194
96,Rubber,34.39141802015376
116,Varagu,34.174283249388424
98,Samai,31.02511778768783
9,Bean,26.80000373220817
1,Arcanut (Processed),25.696755944631818
55,Lentil,23.509821924596295
90,Rajmash Kholar,22.389421573480192
24,Cashewnut Raw,17.592759727320665
121,other misc. pulses,17.037509712474574
95,Ricebean (nagadal),11.074301252257843
46,Jobster,9.052380952380952
81,Perilla,5.362227794343543
29,Coffee,4.25284530998842
114,Turnip,3.620582842539033
50,Kapas,3.1055874387027598
23,Cashewnut Processed,2.109334250958328
117,Water Melon,0.0
4,Ash Gourd,0.0
119,Yam,0.0
120,other fibres,0.0
11,Beet Root,0.0
57,Litchi,0.0
12,Ber,0.0
103,Snak Guard,0.0
93,Ribed Guard,0.0
88,Pump Kin,0.0
83,Plums,0.0
34,Cucumber,0.0
79,Peas  (vegetable),0.0
78,Pear,0.0
77,Peach,0.0
71,Other Dry Fruit,0.0
70,Other Citrus Fruit,0.0
53,Lab-Lab,0.0
0,Apple,0.0
