,crops,commodity,variety,2014-15,2015-16,2016-17
1,KHARIF CROPS,PADDY,Common,1360,1410,1470
2,KHARIF CROPS,PADDY,Grade 'A',1400,1450,1510
3,KHARIF CROPS,JOWAR,Hybrid,1530,1570,1625
4,KHARIF CROPS,JOWAR,Maldandi,1550,1590,1650
5,KHARIF CROPS,BAJRA,NA,1250,1275,1330
6,KHARIF CROPS,MAIZE,NA,1310,1325,1365
7,KHARIF CROPS,RAGI,NA,1550,1650,1725
8,KHARIF CROPS,ARHAR(Tur),NA,4350,4625^,5050^^
9,KHARIF CROPS,MOONG,NA,4600,4850^,5225^^
10,KHARIF CROPS,URAD,NA,4350,4625^,5000^^
11,KHARIF CROPS,COTTON,Medium Staple,3750,3800,3860
12,KHARIF CROPS,COTTON,Long Staple,4050,4100,4160
13,KHARIF CROPS,GROUNDNUT IN SHELL,NA,4000,4030,4220*
14,KHARIF CROPS,SUNFLOWER SEED,NA,3750,3800,3950*
15,KHARIF CROPS,SOYABEEN,Black,2500,NA,NA
16,KHARIF CROPS,SOYABEEN,Yellow$$,2560,2600,2775*
17,KHARIF CROPS,SESAMUM,NA,4600,4700,5000^
18,KHARIF CROPS,NIGERSEED,NA,3600,3650,3825*
19,RABI CROPS,WHEAT,NA,1450,1525,
20,RABI CROPS,BARLEY,NA,1150,1225,
21,RABI CROPS,GRAM,NA,3175,3500**,
22,RABI CROPS,MASUR (LENTIL),NA,3075,3400**,
23,RABI CROPS,RAPESEED/MUSTARD,NA,3100,3350,
24,RABI CROPS,SAFFLOWER,NA,3050,3300,
25,RABI CROPS,TORIA,NA,3020,3290,
26,OTHER CROPS,COPRA,Milling,5250,5550,
27,OTHER CROPS,(Calender Year),Ball,5500,5830,
28,OTHER CROPS,DE-HUSKED COCONUT (Calender Year),NA,1425,1500,
29,OTHER CROPS,JUTE,NA,2400,2700,
30,OTHER CROPS,SUGARCANE$,NA,220,230,
