,sn,crops,commodity,variety,2016-17
1,1,KHARIF CROPS,PADDY,Common,1470
2,1,KHARIF CROPS,PADDY,Grade 'A',1510
3,2,KHARIF CROPS,JOWAR,Hybrid,1625
4,2,KHARIF CROPS,JOWAR,Maldandi,1650
5,3,KHARIF CROPS,BAJRA,NA,1330
6,4,KHARIF CROPS,MAIZE,NA,1365
7,5,KHARIF CROPS,RAGI,NA,1725
8,6,KHARIF CROPS,ARHAR(Tur),NA,5050^^
9,7,KHARIF CROPS,MOONG,NA,5225^^
10,8,KHARIF CROPS,URAD,NA,5000^^
11,9,KHARIF CROPS,COTTON,Medium Staple,3860
12,9,KHARIF CROPS,COTTON,Long Staple,4160
13,10,KHARIF CROPS,GROUNDNUT IN SHELL,NA,4220*
14,11,KHARIF CROPS,SUNFLOWER SEED,NA,3950*
15,12,KHARIF CROPS,SOYABEEN,Black,NA
16,12,KHARIF CROPS,SOYABEEN,Yellow,2775*
17,13,KHARIF CROPS,SESAMUM,NA,5000^
18,14,KHARIF CROPS,NIGERSEED,NA,3825*
