,SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,ANDAMAN & NICOBAR ISLANDS,1901-2015,Mean,49.2,27.6,30.0,72.2,355.6,471.4,397.5,400.5,431.3,289.5,233.0,153.3,2911.0,76.8,457.8,1700.7,675.8
1,ANDAMAN & NICOBAR ISLANDS,1901-2015,Standard deviation,71.3,38.8,43.6,66.8,151.2,147.0,151.9,142.6,146.7,99.4,119.4,129.5,395.9,81.1,176.8,286.3,199.0
2,ANDAMAN & NICOBAR ISLANDS,1901-2015,Coefficient of variation,144.9,140.4,145.5,92.5,42.5,31.2,38.2,35.6,34.0,34.3,51.2,84.5,13.6,105.6,38.6,16.8,29.4
3,ANDAMAN & NICOBAR ISLANDS,1901,Actual,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3
4,ANDAMAN & NICOBAR ISLANDS,1901,Percentage departure,-0.1,215.9,-2.6,-96.8,48.7,9.8,-8.2,20.1,-22.9,34.2,139.5,-78.1,15.9,77.5,22.4,-0.3,45.1
5,ANDAMAN & NICOBAR ISLANDS,1901,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
6,ANDAMAN & NICOBAR ISLANDS,1902,Actual,0.0,159.8,12.2,0.0,446.1,537.1,228.9,753.7,666.2,197.2,359.0,160.5,3520.7,159.8,458.3,2185.9,716.7
7,ANDAMAN & NICOBAR ISLANDS,1902,Percentage departure,-100.0,479.6,-59.3,-100.0,25.5,13.9,-42.4,88.2,54.5,-31.9,54.1,4.7,20.9,108.1,0.1,28.5,6.1
8,ANDAMAN & NICOBAR ISLANDS,1902,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
9,ANDAMAN & NICOBAR ISLANDS,1903,Actual,12.7,144.0,0.0,1.0,235.1,479.9,728.4,326.7,339.0,181.2,284.4,225.0,2957.4,156.7,236.1,1874.0,690.6
10,ANDAMAN & NICOBAR ISLANDS,1903,Percentage departure,-74.2,422.3,-100.0,-98.6,-33.9,1.8,83.2,-18.4,-21.4,-37.4,22.0,46.8,1.6,104.0,-48.4,10.2,2.2
11,ANDAMAN & NICOBAR ISLANDS,1903,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
12,ANDAMAN & NICOBAR ISLANDS,1904,Actual,9.4,14.7,0.0,202.4,304.5,495.1,502.0,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571.0
13,ANDAMAN & NICOBAR ISLANDS,1904,Percentage departure,-80.9,-46.7,-100.0,180.3,-14.4,5.0,26.3,-60.0,90.2,-23.2,32.5,-73.8,5.8,-68.6,10.7,16.3,-15.5
14,ANDAMAN & NICOBAR ISLANDS,1904,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
15,ANDAMAN & NICOBAR ISLANDS,1905,Actual,1.3,0.0,3.3,26.9,279.5,628.7,368.7,330.5,297.0,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8
16,ANDAMAN & NICOBAR ISLANDS,1905,Percentage departure,-97.4,-100.0,-89.0,-62.7,-21.4,33.4,-7.2,-17.5,-31.1,-9.9,-89.1,124.8,-11.8,-98.3,-32.3,-4.5,-6.7
17,ANDAMAN & NICOBAR ISLANDS,1905,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
18,ANDAMAN & NICOBAR ISLANDS,1906,Actual,36.6,0.0,0.0,0.0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9
19,ANDAMAN & NICOBAR ISLANDS,1906,Percentage departure,-25.6,-100.0,-100.0,-100.0,56.4,55.6,-37.7,-20.0,-61.9,-7.5,-44.7,-48.3,-12.9,-52.3,21.5,-13.8,-29.6
20,ANDAMAN & NICOBAR ISLANDS,1906,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
21,ANDAMAN & NICOBAR ISLANDS,1907,Actual,110.7,0.0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9
22,ANDAMAN & NICOBAR ISLANDS,1907,Percentage departure,124.9,-100.0,278.0,-70.1,73.3,-35.2,11.7,-5.7,-53.5,-8.7,178.5,60.2,15.0,44.1,64.1,-22.0,71.5
23,ANDAMAN & NICOBAR ISLANDS,1907,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
24,ANDAMAN & NICOBAR ISLANDS,1908,Actual,20.9,85.1,0.0,29.0,562.0,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106.0,591.0,2303.7,575.7
25,ANDAMAN & NICOBAR ISLANDS,1908,Percentage departure,-57.5,208.6,-100.0,-59.8,58.1,47.2,21.1,74.7,-0.6,-41.0,-10.7,28.4,22.9,38.0,29.1,35.5,-14.8
26,ANDAMAN & NICOBAR ISLANDS,1908,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
27,ANDAMAN & NICOBAR ISLANDS,1910,Actual,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701.0,629.0
28,ANDAMAN & NICOBAR ISLANDS,1910,Percentage departure,-46.0,-17.7,588.3,23.7,-36.9,0.3,-33.5,-15.8,45.3,-28.1,14.7,0.1,-0.4,-35.8,13.6,0.0,-6.9
29,ANDAMAN & NICOBAR ISLANDS,1910,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
30,ANDAMAN & NICOBAR ISLANDS,1911,Actual,0.0,8.4,0.0,122.5,327.3,649.0,253.0,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4
31,ANDAMAN & NICOBAR ISLANDS,1911,Percentage departure,-100.0,-69.5,-100.0,69.7,-8.0,37.7,-36.4,-53.3,7.7,15.3,-59.4,61.2,-7.7,-89.1,-1.7,-8.6,-0.1
32,ANDAMAN & NICOBAR ISLANDS,1911,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
33,ANDAMAN & NICOBAR ISLANDS,1912,Actual,583.7,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,584.5,162.6,1775.2,438.2
34,ANDAMAN & NICOBAR ISLANDS,1912,Percentage departure,1085.8,-97.1,-100.0,-69.7,-60.4,16.6,18.0,-7.6,-10.4,10.1,-49.7,-98.5,1.7,661.1,-64.5,4.4,-35.2
35,ANDAMAN & NICOBAR ISLANDS,1912,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
36,ANDAMAN & NICOBAR ISLANDS,1913,Actual,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5,2365.8,85.3,194.5,1596.7,489.3
37,ANDAMAN & NICOBAR ISLANDS,1913,Percentage departure,72.3,-98.2,-95.7,-96.5,-46.4,12.4,-29.4,-48.6,34.5,-0.2,-42.9,-56.0,-18.7,11.1,-57.5,-6.1,-27.6
38,ANDAMAN & NICOBAR ISLANDS,1913,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
39,ANDAMAN & NICOBAR ISLANDS,1914,Actual,0.0,0.0,0.0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0.0,336.5,2007.4,613.9
40,ANDAMAN & NICOBAR ISLANDS,1914,Percentage departure,-100.0,-100.0,-100.0,-47.8,-16.0,-18.7,99.4,29.9,-27.9,-51.7,-20.9,89.0,1.6,-100.0,-26.5,18.0,-9.2
41,ANDAMAN & NICOBAR ISLANDS,1914,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
42,ANDAMAN & NICOBAR ISLANDS,1915,Actual,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,468.1,258.4,318.0,2741.3,101.7,244.4,1350.7,1044.5
43,ANDAMAN & NICOBAR ISLANDS,1915,Percentage departure,-8.6,105.6,11.1,-43.4,-52.1,-29.0,-32.3,-20.8,-0.3,61.7,10.9,107.4,-5.8,32.4,-46.6,-20.6,54.6
44,ANDAMAN & NICOBAR ISLANDS,1915,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
45,ANDAMAN & NICOBAR ISLANDS,1916,Actual,0.0,0.0,0.0,0.5,487.4,450.1,317.3,425.0,561.2,369.7,192.6,133.7,2937.5,0.0,487.9,1753.6,696.0
46,ANDAMAN & NICOBAR ISLANDS,1916,Percentage departure,-100.0,-100.0,-100.0,-99.3,37.1,-4.5,-20.2,6.1,30.1,27.7,-17.3,-12.8,0.9,-100.0,6.6,3.1,3.0
47,ANDAMAN & NICOBAR ISLANDS,1916,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
48,ANDAMAN & NICOBAR ISLANDS,1917,Actual,8.0,3.6,112.0,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3
49,ANDAMAN & NICOBAR ISLANDS,1917,Percentage departure,-83.7,-86.9,273.7,-93.8,-16.8,-36.1,-0.7,9.2,9.4,-17.7,-53.5,54.5,-10.3,-84.9,-9.9,-5.6,-13.7
50,ANDAMAN & NICOBAR ISLANDS,1917,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
51,ANDAMAN & NICOBAR ISLANDS,1918,Actual,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227.0,366.9,175.0,3275.0,84.3,751.4,1670.4,768.9
52,ANDAMAN & NICOBAR ISLANDS,1918,Percentage departure,57.2,-75.0,-62.0,-85.2,105.1,50.8,-49.5,13.7,-29.7,-21.6,57.5,14.1,12.5,9.8,64.1,-1.8,13.8
53,ANDAMAN & NICOBAR ISLANDS,1918,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
54,ANDAMAN & NICOBAR ISLANDS,1919,Actual,10.2,18.0,0.0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1,28.2,319.4,1219.5,785.0
55,ANDAMAN & NICOBAR ISLANDS,1919,Percentage departure,-79.3,-34.7,-100.0,-50.8,-20.2,15.1,-38.0,-35.1,-60.4,-35.7,46.1,68.5,-19.2,-63.3,-30.2,-28.3,16.2
56,ANDAMAN & NICOBAR ISLANDS,1919,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
57,ANDAMAN & NICOBAR ISLANDS,1920,Actual,122.3,7.4,3.1,13.0,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2,129.7,253.5,1814.1,745.9
58,ANDAMAN & NICOBAR ISLANDS,1920,Percentage departure,148.5,-73.2,-89.7,-82.0,-33.2,16.0,-25.9,16.7,17.2,37.3,12.8,-44.2,1.1,68.9,-44.6,6.7,10.4
59,ANDAMAN & NICOBAR ISLANDS,1920,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
60,ANDAMAN & NICOBAR ISLANDS,1921,Actual,13.2,3.1,0.0,37.5,351.2,282.7,487.1,330.0,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681.0,520.4
61,ANDAMAN & NICOBAR ISLANDS,1921,Percentage departure,-73.2,-88.8,-100.0,-48.1,-1.2,-40.0,22.5,-17.6,34.8,24.6,-49.3,-72.9,-10.5,-78.8,-15.1,-1.2,-23.0
62,ANDAMAN & NICOBAR ISLANDS,1921,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
63,ANDAMAN & NICOBAR ISLANDS,1922,Actual,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162.0,541.0,192.2,3554.2,279.6,628.4,1751.0,895.2
64,ANDAMAN & NICOBAR ISLANDS,1922,Percentage departure,398.3,24.4,-48.0,347.5,-18.5,7.4,7.1,-23.3,18.7,-44.0,132.2,25.4,22.1,264.1,37.3,3.0,32.5
65,ANDAMAN & NICOBAR ISLANDS,1922,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
66,ANDAMAN & NICOBAR ISLANDS,1923,Actual,79.5,0.0,,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,,79.5,,2188.0,399.9
67,ANDAMAN & NICOBAR ISLANDS,1923,Percentage departure,61.5,-100.0,,26.4,-17.5,71.5,60.2,-54.5,30.0,-54.4,-15.3,-53.9,,3.5,,28.7,-40.8
68,ANDAMAN & NICOBAR ISLANDS,1923,No. of districts,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
69,ANDAMAN & NICOBAR ISLANDS,1924,Actual,28.7,0.0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,,,28.7,295.7,1296.6,
70,ANDAMAN & NICOBAR ISLANDS,1924,Percentage departure,-41.7,-100.0,-50.6,24.2,-46.2,-44.6,24.1,-27.4,-41.8,14.4,62.5,,,-62.6,-35.4,-23.8,
71,ANDAMAN & NICOBAR ISLANDS,1924,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,
72,ANDAMAN & NICOBAR ISLANDS,1925,Actual,36.6,0.0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196.0,2480.5,36.6,341.2,1385.7,717.0
73,ANDAMAN & NICOBAR ISLANDS,1925,Percentage departure,-25.6,-100.0,-71.3,-30.2,-20.6,40.8,-39.2,-30.5,-53.2,-13.8,16.5,27.8,-14.8,-52.3,-25.5,-18.5,6.1
74,ANDAMAN & NICOBAR ISLANDS,1925,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
75,ANDAMAN & NICOBAR ISLANDS,1926,Actual,122.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9
76,ANDAMAN & NICOBAR ISLANDS,1926,Percentage departure,148.0,-100.0,-100.0,-99.3,-44.2,-21.5,-50.9,30.7,66.8,53.3,-36.3,265.7,12.8,59.0,-56.5,6.3,70.6
77,ANDAMAN & NICOBAR ISLANDS,1926,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
78,ANDAMAN & NICOBAR ISLANDS,1927,Actual,3.0,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1
79,ANDAMAN & NICOBAR ISLANDS,1927,Percentage departure,-93.9,-36.5,-40.6,50.4,41.8,-8.1,-50.9,-7.6,-70.7,13.1,17.6,-57.3,-16.1,-73.3,37.7,-33.9,-1.3
80,ANDAMAN & NICOBAR ISLANDS,1927,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
81,ANDAMAN & NICOBAR ISLANDS,1928,Actual,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5
82,ANDAMAN & NICOBAR ISLANDS,1928,Percentage departure,3.4,145.2,169.3,79.1,40.5,-13.0,2.2,-2.3,-6.1,53.6,-57.3,-91.2,3.0,54.3,55.0,-5.2,-17.5
83,ANDAMAN & NICOBAR ISLANDS,1928,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
84,ANDAMAN & NICOBAR ISLANDS,1929,Actual,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5,2926.6,192.6,515.6,1540.4,678.0
85,ANDAMAN & NICOBAR ISLANDS,1929,Percentage departure,50.7,329.4,331.1,-3.3,-11.0,24.9,-66.3,61.0,-59.9,42.7,7.9,-91.2,0.5,150.8,12.6,-9.4,0.3
86,ANDAMAN & NICOBAR ISLANDS,1929,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
87,ANDAMAN & NICOBAR ISLANDS,1930,Actual,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3
88,ANDAMAN & NICOBAR ISLANDS,1930,Percentage departure,77.6,282.3,337.8,-84.9,-34.9,13.2,-20.0,11.5,57.0,-71.6,7.0,31.5,5.6,151.1,-18.4,16.2,-21.1
89,ANDAMAN & NICOBAR ISLANDS,1930,No. of districts,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
