state,district,year,season,crop,area,production ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,production_by_area
10,34,2005,1,2,12650.0,17027.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.34600790513834
10,34,2006,1,2,12737.0,25691.0,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,2.017036978880427
10,34,2007,1,2,7124.0,14341.0,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,2.013054463784391
10,34,2008,1,2,11712.0,20949.0,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,1.7886782786885247
10,34,2009,1,2,10524.0,16463.0,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,1.564329152413531
10,34,2010,1,2,6000.0,13150.0,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,2.191666666666667
10,34,2011,1,2,2500.0,5595.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,2.238
10,34,2011,1,2,2500.0,5595.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,2.238
10,34,2012,1,2,2520.0,6137.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,2.43531746031746
10,34,2013,1,2,2750.0,5885.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,2.14
10,34,2013,1,2,2750.0,5885.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,2.14
10,34,2014,1,2,3050.0,6509.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,2.134098360655737
10,34,2014,1,2,3050.0,6509.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,2.134098360655737
10,35,2000,1,2,25005.0,58014.0,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,2.32009598080384
10,35,2001,1,2,18510.0,39355.0,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,2.1261480280929232
10,35,2002,1,2,16000.0,35031.0,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,2.1894375
10,35,2003,1,2,17400.0,37888.0,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,2.177471264367816
10,35,2004,1,2,19645.0,33526.0,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,1.7065920081445658
10,35,2005,1,2,13897.0,20379.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.4664316039432972
10,35,2006,1,2,15213.0,32963.0,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,2.166765266548347
10,35,2007,1,2,16829.0,37462.0,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,2.2260383861191992
10,35,2008,1,2,42937.0,85624.0,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,1.9941775158953816
10,35,2009,1,2,48309.0,121935.0,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,2.5240638390362045
10,35,2010,1,2,51581.0,131465.0,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,2.5487097962428025
10,35,2011,1,2,51708.0,174318.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,3.371199814342075
10,35,2011,1,2,51708.0,174318.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,3.371199814342075
10,35,2012,1,2,52921.0,163375.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,3.0871487689197106
10,35,2013,1,2,47877.0,158072.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,3.301627086074733
10,35,2013,1,2,47877.0,158072.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,3.301627086074733
10,35,2014,1,2,49261.0,141830.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,2.879153894561621
10,35,2014,1,2,49261.0,141830.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,2.879153894561621
10,36,2000,1,2,9931.0,14064.0,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,1.416171583929111
10,36,2001,1,2,9967.0,16462.0,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,1.651650446473362
10,36,2002,1,2,9527.0,14838.0,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,1.5574682481368742
10,36,2003,1,2,9569.0,12546.0,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,1.3111087887971575
10,36,2004,1,2,9997.0,13155.0,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,1.315894768430529
10,36,2005,1,2,7814.0,14947.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.9128487330432558
10,36,2006,1,2,7818.0,12188.0,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,1.5589664875927347
10,36,2007,1,2,8132.0,19327.0,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,2.3766601082144616
10,36,2008,1,2,9947.0,20907.0,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,2.1018397506785966
10,36,2009,1,2,10028.0,23102.0,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,2.3037495013960907
10,36,2010,1,2,10680.0,35104.0,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,3.2868913857677904
10,36,2011,1,2,10507.0,31151.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,2.964785381174455
10,36,2011,1,2,10507.0,31151.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,2.964785381174455
10,36,2012,1,2,10740.0,31907.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,2.970856610800745
10,36,2013,1,2,13070.0,38727.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,2.963045141545524
10,36,2013,1,2,13070.0,38727.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,2.963045141545524
10,36,2014,1,2,11685.0,38969.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,3.3349593495934964
10,36,2014,1,2,11685.0,38969.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,3.3349593495934964
10,37,2000,1,2,8000.0,17616.0,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,2.202
10,37,2001,1,2,9000.0,12015.0,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,1.335
10,37,2002,1,2,9110.0,15943.0,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,1.7500548847420416
10,37,2003,1,2,9865.0,0.0,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,0.0
10,37,2004,1,2,9990.0,14835.0,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,1.484984984984985
10,37,2005,1,2,10261.0,16722.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.6296657245882469
