state,district,year,season,crop,area,production ,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,production_by_area
10,34,2005,5,2,66229.0,93287.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.4085521448308145
10,34,2006,5,2,52195.0,67915.0,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,1.3011782737810136
10,34,2007,5,2,58558.0,73246.0,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,1.2508282386693534
10,34,2008,5,2,69495.0,124614.0,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,1.793136196848694
10,34,2009,5,2,68453.0,109965.0,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,1.606430689670285
10,34,2010,5,2,84168.0,134217.0,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,1.5946321642429426
10,34,2011,5,2,85450.0,153149.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,1.792264482153306
10,34,2011,5,2,85450.0,153149.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,1.792264482153306
10,34,2012,5,2,85485.0,157009.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,1.8366847985026613
10,34,2012,5,2,85485.0,157009.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,1.8366847985026613
10,34,2013,5,2,85730.0,161484.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,1.8836346669777209
10,34,2013,5,2,85730.0,161484.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,1.8836346669777209
10,34,2014,5,2,86070.0,195027.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,2.2659114674102474
10,34,2014,5,2,86070.0,195027.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,2.2659114674102474
10,35,2000,5,2,97175.0,120609.0,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,1.2411525598147672
10,35,2001,5,2,97500.0,119034.0,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,1.2208615384615384
10,35,2002,5,2,99500.0,111714.0,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,1.1227537688442208
10,35,2003,5,2,99750.0,128640.0,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,1.289624060150376
10,35,2004,5,2,62225.0,74492.0,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,1.1971394134190438
10,35,2005,5,2,52755.0,75339.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.428092123969292
10,35,2006,5,2,50173.0,51355.0,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,1.0235584876327906
10,35,2007,5,2,53821.0,63911.0,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,1.1874732910945542
10,35,2008,5,2,72524.0,92763.0,29.7,14.5,107.5,156.2,210.6,414.6,493.2,508.6,267.5,133.4,2.2,1.6,2339.7,1.2790662401411947
10,35,2009,5,2,73690.0,104134.0,7.9,11.6,44.9,134.9,246.5,321.1,426.3,533.8,192.3,135.9,9.0,4.0,2068.2,1.413136110734157
10,35,2010,5,2,74406.0,148961.0,0.5,3.1,99.6,389.3,393.4,569.7,415.1,387.0,318.3,116.2,11.6,7.6,2711.5,2.002002526677956
10,35,2011,5,2,78281.0,110441.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,1.41082765932985
10,35,2011,5,2,78281.0,110441.0,11.1,11.4,109.0,92.1,238.3,316.0,395.8,302.6,221.6,30.2,11.9,3.5,1743.4,1.41082765932985
10,35,2012,5,2,66597.0,107022.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,1.6070093247443578
10,35,2012,5,2,66597.0,107022.0,15.2,6.9,28.8,279.1,185.8,729.7,444.3,289.2,411.6,199.4,17.1,2.3,2609.4,1.6070093247443578
10,35,2013,5,2,67630.0,123146.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,1.8208783084429987
10,35,2013,5,2,67630.0,123146.0,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,1.8208783084429987
10,35,2014,5,2,69154.0,102046.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,1.4756340920264917
10,35,2014,5,2,69154.0,102046.0,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,1.4756340920264917
10,36,2000,5,2,57625.0,58910.0,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,1.0222993492407808
10,36,2001,5,2,57795.0,66814.0,5.5,39.7,30.9,198.6,266.4,399.8,451.1,295.6,266.8,201.4,20.5,2.3,2178.4,1.1560515615537676
10,36,2002,5,2,59640.0,78756.0,20.2,5.7,83.3,279.9,286.9,502.5,565.1,312.5,209.7,49.5,69.4,7.9,2392.7,1.3205231388329979
10,36,2003,5,2,58844.0,74327.0,9.5,41.5,96.9,213.8,235.8,551.4,481.2,290.7,250.0,231.8,13.0,18.6,2434.1,1.263119434436816
10,36,2004,5,2,58690.0,72659.0,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,1.238013290168683
10,36,2005,5,2,39572.0,45530.0,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.3,1.1505610027292024
10,36,2006,5,2,32545.0,31246.0,0.7,40.9,20.8,169.0,325.7,395.9,350.3,209.7,252.3,97.6,25.1,10.7,1898.6,0.9600860347211552
10,36,2007,5,2,35410.0,33297.0,1.5,73.7,23.5,242.7,219.8,489.7,682.7,308.0,494.7,164.7,47.7,4.0,2752.8,0.9403275910759672
